sample_id,question,gold,pred,confidence,abstained,error_type,anatomy
sample_0000,Is there evidence of a fracture?,no,yes,0.21624600887298584,True,abstained,
sample_0001,What body part is shown?,hand,yes,0.21624597907066345,True,abstained,
sample_0002,Is there evidence of a fracture?,yes,yes,0.2539736330509186,True,abstained,
sample_0003,What body part is shown?,wrist,yes,0.25397366285324097,True,abstained,
sample_0012,Is there evidence of a fracture?,no,yes,0.21802476048469543,True,abstained,
sample_0013,What body part is shown?,hand,yes,0.21802477538585663,True,abstained,
sample_0014,Is there evidence of a fracture?,yes,yes,0.252869188785553,True,abstained,
sample_0015,What body part is shown?,wrist,yes,0.252869188785553,True,abstained,
sample_0028,Is there evidence of a fracture?,yes,yes,0.2537769675254822,True,abstained,
sample_0029,What body part is shown?,elbow,yes,0.25377699732780457,True,abstained,
sample_0030,Is there evidence of a fracture?,no,yes,0.21705719828605652,True,abstained,
sample_0031,What body part is shown?,wrist,yes,0.21705719828605652,True,abstained,
sample_0032,Is there evidence of a fracture?,no,yes,0.21684537827968597,True,abstained,
sample_0033,What body part is shown?,ankle,yes,0.21684537827968597,True,abstained,
sample_0034,Is there evidence of a fracture?,no,yes,0.2292061150074005,True,abstained,
sample_0035,What body part is shown?,forearm,yes,0.22920608520507812,True,abstained,
